X,Y,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.4493713,43.7208595,250,2304950,2007,D32,Shooting,2007-07-03T04:00:00.000Z,31,Yorkdale-Glen Park (31),43.7208595,-79.4493713,440
-79.2329788,43.7795486,251,2043425,2007,D43,Stabbing,2007-07-17T04:00:00.000Z,137,Woburn (137),43.7795486,-79.2329788,441
-79.4406357,43.6922646,252,2226971,2007,D13,Shooting,2007-07-21T04:00:00.000Z,107,Oakwood Village (107),43.6922646,-79.4406357,442
-79.5034027,43.7410774,253,2162156,2007,D31,Shooting,2007-07-22T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7410774,-79.5034027,443
-79.3744507,43.6688728,254,2096282,2007,D51,Shooting,2007-07-22T04:00:00.000Z,74,North St.James Town (74),43.6688728,-79.3744507,444
-79.3886795,43.648201,255,2253925,2007,D52,Shooting,2007-07-22T04:00:00.000Z,77,Waterfront Communities-The Island (77),43.648201,-79.3886795,445
-79.2119064,43.8184433,256,2314144,2007,D42,Shooting,2007-07-28T04:00:00.000Z,131,Rouge (131),43.8184433,-79.2119064,446
-79.4645615,43.6654053,257,2133216,2007,D11,Other,2007-07-28T04:00:00.000Z,90,Junction Area (90),43.6654053,-79.4645615,447
-79.5935364,43.733776099999986,258,2177286,2007,D23,Shooting,2007-07-30T04:00:00.000Z,1,West Humber-Clairville (1),43.7337761,-79.5935364,448
-79.238357500000021,43.7388573,259,2344083,2007,D43,Stabbing,2007-07-29T04:00:00.000Z,138,Eglinton East (138),43.7388573,-79.2383575,449
-79.362335200000018,43.6629715,260,2082431,2007,D51,Shooting,2007-08-04T04:00:00.000Z,71,Cabbagetown-South St.James Town (71),43.6629715,-79.3623352,450
-79.4114838,43.6457024,261,2187991,2007,D14,Stabbing,2007-08-09T04:00:00.000Z,81,Trinity-Bellwoods (81),43.6457024,-79.4114838,451
-79.3466263,43.7032127,262,2383826,2007,D53,Stabbing,2007-08-22T04:00:00.000Z,55,Thorncliffe Park (55),43.7032127,-79.3466263,452
-79.555687,43.641521500000017,263,2425942,2007,D22,Stabbing,2007-02-22T05:00:00.000Z,14,Islington-City Centre West (14),43.6415215,-79.555687,453
-79.2840805,43.6939468,264,2077377,2007,D11,Shooting,2007-08-26T04:00:00.000Z,121,Oakridge (121),43.6939468,-79.2840805,454
-79.2291183,43.727985399999987,265,2421599,2007,D41,Other,2007-08-22T04:00:00.000Z,123,Cliffcrest (123),43.7279854,-79.2291183,455
-79.2834015,43.8050919,266,2442324,2007,D42,Other,2007-08-31T04:00:00.000Z,129,Agincourt North (129),43.8050919,-79.2834015,456
-79.2814407,43.7481804,267,2265196,2007,D41,Stabbing,2007-09-11T04:00:00.000Z,126,Dorset Park (126),43.7481804,-79.2814407,457
-79.4415131,43.6830559,268,2479780,2007,D13,Other,2007-09-07T04:00:00.000Z,107,Oakwood Village (107),43.6830559,-79.4415131,458
-79.520401,43.7688293,269,2426042,2007,D31,Shooting,2007-08-16T04:00:00.000Z,24,Black Creek (24),43.7688293,-79.520401,459
-79.5048294,43.706646,270,2373579,2007,D31,Other,2007-09-11T04:00:00.000Z,28,Rustic (28),43.706646,-79.5048294,460
-79.3821182,43.6590996,271,2304687,2007,D52,Shooting,2007-09-19T04:00:00.000Z,75,Church-Yonge Corridor (75),43.6590996,-79.3821182,461
-79.344650300000012,43.7646408,272,2430194,2007,D33,Other,2007-09-25T04:00:00.000Z,45,Parkwoods-Donalda (45),43.7646408,-79.3446503,462
-79.5170746,43.7548561,273,2373602,2007,D31,Shooting,2007-09-28T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7548561,-79.5170746,463
-79.4907761,43.7373734,274,2539175,2007,D31,Stabbing,2007-10-02T04:00:00.000Z,26,Downsview-Roding-CFB (26),43.7373734,-79.4907761,464
